EVENT	HeLa_CNTRL	HeLa_CNTRL_A	HeLa_CNTRL_B	HeLa_CNTRL_C	HeLa_SON	HeLa_SON_A	HeLa_SON_B	HeLa_SON_C	HeLa_SRRM2	HeLa_SRRM2_A	HeLa_SRRM2_B	HeLa_SRRM2_C	HepG2_CNTRL	HepG2_CNTRL_A	HepG2_CNTRL_B	HepG2_CNTRL_C	HepG2_MARS	HepG2_MARS_Aa	HepG2_MARS_Ab	HepG2_MARS_Ba	HepG2_MARS_Bb	HepG2_MARS_Ca	HepG2_MARS_Cb	HepG2_RARS	HepG2_RARS_A	HepG2_RARS_B	HepG2_RARS_C	HepG2_SRRM2	HepG2_SRRM2_Aa	HepG2_SRRM2_Ab	HepG2_SRRM2_Ba	HepG2_SRRM2_Bb	HepG2_SRRM2_Ca	HepG2_SRRM2_Cb
ANO7=HsaEX1003953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.98	94.12	95.24	92.98	94.24	100.00	NA	89.47	100.00	100.00	100.00	85.92	75.86	91.49	NA	86.09	75.00	NA	NA	100.00	100.00	100.00
CRIP3=HsaEX0017251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.60	89.83	95.06	70.37	87.87	89.55	92.79	75.00	88.10	92.68	88.35	91.28	89.31	93.75	91.45	91.30	83.67	94.12	95.56	94.44	93.33	88.89
CYP39A1=HsaEX6047517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.91	NA	77.14	NA	93.33	NA	NA	NA	NA	NA	NA	95.29	NA	94.12	94.12	97.30	NA	NA	NA	NA	NA	NA
CYP39A1=HsaEX6047518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.78	NA	72.41	74.19	100.00	NA	NA	NA	NA	NA	NA	94.67	NA	90.91	94.87	95.83	NA	NA	NA	NA	NA	NA
CYP39A1=HsaEX0018310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.94	80.00	94.29	94.12	81.40	NA	NA	NA	NA	NA	NA	92.23	93.10	95.35	87.10	94.37	NA	NA	NA	NA	NA	NA
IRAK1BP1=HsaEX0032186	100.00	NA	NA	NA	87.50	NA	NA	NA	93.75	NA	NA	100.00	97.62	100.00	92.86	100.00	100.00	NA	NA	NA	NA	NA	NA	92.73	95.83	82.86	100.00	91.67	NA	NA	NA	NA	NA	NA
IRAK1BP1=HsaEX0032187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.93	NA	NA	NA	NA	NA	NA	62.16	NA	37.14	NA	65.08	NA	NA	NA	NA	NA	NA
MMS22L=HsaEX0011275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.76	85.72	88.68	83.72	83.89	NA	NA	NA	NA	77.78	81.84	97.20	96.39	95.12	100.00	96.00	NA	NA	NA	NA	100.00	NA
FAXC=HsaEX0011281	90.38	80.49	100.00	93.94	94.94	100.00	83.33	100.00	98.20	100.00	100.00	96.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RARS2=HsaEX0052340	69.49	71.43	NA	NA	90.00	NA	NA	NA	64.10	NA	NA	NA	86.35	88.69	85.08	85.21	84.05	84.85	80.00	84.62	86.52	84.62	85.71	86.72	82.48	88.31	89.94	78.51	79.68	82.31	87.18	88.03	73.77	69.08
RNF217=HsaEX0054077	29.36	NA	NA	NA	9.62	9.02	NA	NA	28.30	NA	NA	25.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF217=HsaEX0054080	89.46	100.00	NA	NA	92.40	89.71	87.31	100.00	92.90	NA	100.00	90.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TIAM2=HsaEX0052627	NA	NA	NA	NA	NA	NA	NA	NA	71.66	NA	NA	NA	65.13	72.27	NA	NA	77.69	80.65	NA	NA	NA	NA	NA	53.98	42.00	56.13	NA	69.66	NA	NA	NA	NA	NA	NA
TIAM2=HsaEX0052628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.40	NA	NA	NA	27.66	NA	NA	NA	NA	NA	NA	8.11	10.34	0.00	NA	NA	NA	NA	NA	NA	NA	NA
TMEM181=HsaEX6050200	87.36	NA	NA	NA	62.53	NA	NA	NA	67.77	NA	NA	NA	83.40	81.54	80.89	89.02	88.23	89.77	90.61	95.30	90.17	82.98	88.19	82.35	79.26	85.41	83.82	91.53	90.89	90.50	82.53	93.19	94.63	92.23
TMEM181=HsaEX1041128	92.11	91.30	86.21	100.00	80.00	NA	78.57	NA	77.78	80.00	NA	71.43	86.97	84.66	84.69	92.78	91.18	92.41	91.55	95.83	89.19	87.20	93.10	86.11	82.76	89.16	87.69	95.09	93.33	95.92	90.70	100.00	96.83	94.20
ZMYM4=HsaEX0072910	26.77	26.18	27.87	25.74	22.22	15.02	28.30	25.47	26.08	30.63	NA	20.88	61.03	61.64	62.49	59.44	44.79	NA	NA	NA	NA	33.33	60.00	57.96	58.10	65.44	53.81	67.34	74.22	NA	NA	NA	61.66	77.19
SLC22A3=HsaEX0058892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.12	80.54	82.30	83.33	85.34	95.65	76.12	78.72	95.92	82.11	87.88	79.74	76.71	81.70	81.25	85.82	85.29	85.19	89.47	91.30	83.49	84.48
SSC4D=HsaEX0061666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.44	47.90	48.13	58.73	52.69	50.35	60.08	68.60	48.32	42.15	33.81	46.77	36.52	52.65	59.32	60.41	NA	NA	54.35	55.99	78.34	54.96
POMZP3=HsaEX0049174	3.03	NA	NA	NA	3.85	4.35	NA	NA	13.33	NA	NA	NA	26.50	33.33	20.00	27.27	11.76	8.57	11.76	NA	3.70	15.38	13.33	21.13	23.08	NA	12.50	14.94	17.24	31.03	0.00	17.24	11.11	13.33
PSPH=HsaEX0050681	7.87	5.11	8.22	10.31	5.04	NA	4.76	0.00	7.17	6.71	18.89	0.00	8.26	6.29	8.71	9.71	11.88	9.61	8.40	25.06	12.83	11.22	8.91	7.96	3.74	9.72	11.25	18.21	19.48	15.03	23.74	17.28	13.70	21.21
ATXN7L1=HsaEX0007298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.89	NA	NA	15.38	17.65	NA	NA	NA	NA	NA	NA	2.33	NA	NA	0.00	5.00	NA	NA	NA	NA	NA	NA
ATXN7L1=HsaEX0007294	91.79	93.56	94.88	85.53	85.52	94.30	79.29	83.80	92.60	86.22	100.00	91.31	97.17	100.00	100.00	92.72	100.00	NA	NA	NA	NA	NA	100.00	100.00	100.00	100.00	100.00	97.82	100.00	100.00	NA	NA	NA	88.69
GIGYF1=HsaEX0027443	97.94	98.59	98.08	97.17	54.36	54.10	51.78	57.44	92.36	93.15	92.38	91.81	99.41	100.00	99.14	99.10	99.48	100.00	100.00	96.25	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
GIGYF1=HsaEX1046573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.90	73.55	70.91	87.76	79.81	91.30	74.86	80.95	66.67	75.61	89.66	76.79	78.00	72.00	80.65	78.33	81.40	69.23	NA	80.95	94.74	69.81
GIGYF1=HsaEX1015513	100.00	NA	NA	NA	NA	NA	NA	NA	74.25	NA	NA	NA	98.99	98.67	100.00	97.98	99.17	100.00	93.25	100.00	100.00	100.00	100.00	98.90	98.48	98.54	100.00	97.97	100.00	91.81	100.00	91.45	100.00	100.00
TMEM209=HsaEX0065708	90.62	100.00	NA	90.48	88.64	91.30	87.10	88.24	100.00	100.00	NA	100.00	90.51	89.74	90.76	90.98	86.92	94.12	89.47	74.19	93.10	77.46	96.49	89.06	93.14	87.14	84.07	91.36	94.59	NA	89.47	88.24	94.44	89.19
AGBL3=HsaEX0003056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.61	89.70	90.45	71.92	84.44	86.35	NA	100.00	80.54	91.44	NA	69.55	72.81	62.40	71.34	80.62	NA	89.70	NA	NA	NA	NA
EPHA1=HsaEX0022729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.89	NA	NA	NA	NA	NA	NA
NCAPG2=HsaEX0041967	63.40	58.62	60.00	73.33	62.60	58.97	63.27	65.71	53.97	48.84	50.00	64.10	59.49	49.39	65.07	63.34	63.01	57.01	62.76	66.04	62.96	60.92	67.25	60.86	52.97	64.37	69.17	70.54	74.03	72.41	70.94	66.39	76.69	62.13
SH3KBP1=HsaEX0058040	78.92	77.94	80.00	78.95	82.27	85.00	77.03	84.85	81.95	90.77	72.73	84.07	93.98	94.33	93.45	94.33	94.86	95.38	98.11	96.49	94.96	93.20	92.59	94.30	94.08	96.20	92.14	95.58	100.00	94.59	96.52	96.55	94.70	91.67
CASK=HsaEX0012546	38.42	41.29	36.13	37.47	36.76	38.67	40.14	31.39	45.75	47.32	56.09	37.36	38.82	37.04	43.45	35.94	36.04	17.46	19.20	NA	NA	39.17	56.74	42.39	40.79	47.62	36.68	42.01	48.72	41.43	NA	NA	43.66	38.56
CASK=HsaEX0012547	68.14	65.58	68.48	71.13	76.26	72.64	80.35	76.47	67.29	76.18	65.98	61.07	67.65	64.09	68.42	71.03	79.02	92.35	62.64	92.69	60.81	82.84	88.95	64.50	61.60	62.51	71.71	72.29	76.29	59.16	NA	90.05	73.09	67.23
KDM6A=HsaEX0033366	38.71	NA	NA	NA	53.54	NA	NA	NA	49.69	NA	NA	NA	38.79	37.17	53.27	28.01	44.42	NA	NA	NA	NA	59.92	NA	42.43	45.47	46.81	32.96	43.05	NA	NA	NA	NA	NA	31.07
KDM6A=HsaEX0033358	69.03	NA	NA	NA	50.22	NA	NA	NA	55.36	NA	NA	NA	22.89	24.15	21.01	24.61	38.39	NA	NA	NA	NA	NA	NA	29.86	25.78	31.81	31.42	34.67	NA	NA	NA	NA	NA	NA
KDM6A=HsaEX0033362	100.00	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	NA	94.86	100.00	100.00	83.60	100.00	NA	NA	NA	NA	NA	NA	97.27	100.00	100.00	91.19	89.60	NA	NA	NA	NA	NA	NA
HDAC8=HsaEX0029442	11.93	14.29	14.29	7.69	16.48	23.08	9.68	17.65	9.80	5.00	0.00	19.05	0.71	0.66	0.00	2.08	0.28	0.00	0.00	0.00	0.00	1.54	0.00	1.18	0.00	1.96	2.44	0.48	0.00	0.00	2.56	0.00	1.37	0.00
HDAC8=HsaEX0029450	62.71	65.00	56.76	65.85	58.62	60.00	57.58	58.62	62.39	52.38	69.70	66.67	87.69	84.72	89.35	89.61	90.10	91.11	89.09	89.66	84.91	95.56	91.49	83.11	79.37	89.58	81.08	85.06	96.55	90.36	80.00	65.38	86.21	85.96
KRBOX4=HsaEX0074160	NA	NA	NA	NA	93.15	79.52	NA	100.00	93.26	NA	NA	NA	91.74	NA	83.51	NA	90.24	NA	NA	NA	NA	NA	NA	79.52	100.00	NA	NA	97.22	100.00	NA	NA	NA	NA	NA
OGT=HsaEX0044702	82.27	80.53	84.10	82.36	86.15	92.93	74.36	88.93	88.16	95.93	85.09	84.87	78.58	77.66	77.41	80.32	90.39	94.37	89.36	84.30	100.00	89.96	89.62	74.65	68.36	79.48	75.50	95.05	91.26	95.12	100.00	100.00	100.00	92.36
DIAPH2=HsaEX0019681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.24	30.21	NA	32.45	NA	NA	NA	NA	NA	NA	NA	56.99	57.61	NA	NA	80.84	NA	NA	NA	NA	NA	NA
DIAPH2=HsaEX0019685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.06	91.61	85.22	85.35	100.00	NA	NA	NA	NA	NA	100.00	92.21	100.00	91.61	82.92	92.83	NA	NA	NA	NA	NA	NA
MCPH1=HsaEX0038308	96.08	100.00	100.00	NA	100.00	NA	NA	NA	100.00	NA	NA	NA	94.87	96.92	90.70	97.59	96.27	93.55	100.00	100.00	100.00	88.24	100.00	100.00	100.00	100.00	100.00	92.68	100.00	100.00	93.33	71.43	100.00	NA
ZNF185=HsaEX0073128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.84	38.76	60.63	29.51	31.36	NA	23.87	NA	NA	45.85	14.20	35.22	38.04	32.97	NA	32.09	33.27	22.85	NA	NA	NA	NA
ZNF185=HsaEX0073129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.18	49.29	94.81	56.78	59.15	NA	NA	NA	NA	61.81	65.93	68.17	72.60	NA	64.59	67.97	NA	71.60	NA	NA	NA	NA
CSGALNACT1=HsaEX0017472	4.33	7.49	2.86	3.00	11.67	15.83	7.12	NA	0.00	0.00	0.00	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSGALNACT1=HsaEX0017474	19.23	25.93	11.11	21.95	7.50	10.34	3.23	NA	13.89	NA	NA	10.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HMBOX1=HsaEX0030164	0.83	1.31	1.02	0.00	0.87	0.67	1.35	0.72	1.00	0.91	0.00	1.81	10.77	6.90	17.07	6.98	18.45	NA	NA	NA	NA	NA	9.68	7.03	3.37	9.52	11.11	5.71	3.03	3.23	NA	NA	7.14	NA
HMBOX1=HsaEX0030156	NA	NA	NA	NA	87.38	NA	NA	NA	89.88	NA	NA	NA	17.89	21.60	17.84	14.19	38.71	NA	NA	NA	NA	NA	31.18	22.42	21.85	27.57	19.12	23.25	27.13	30.81	6.95	24.46	13.30	36.87
HMBOX1=HsaEX6080187	NA	NA	NA	NA	8.31	4.02	NA	NA	NA	NA	NA	NA	10.27	12.26	9.25	9.21	3.73	NA	4.05	NA	4.39	8.39	2.72	16.75	23.82	6.62	18.25	13.43	19.08	19.92	NA	3.06	4.57	7.74
DOCK5=HsaEX0020608	76.61	72.55	81.82	76.32	67.60	63.33	75.86	63.93	81.29	90.00	84.00	71.43	90.49	86.34	94.34	90.67	94.05	100.00	85.00	86.67	100.00	91.30	100.00	87.27	84.70	87.79	89.60	95.88	100.00	95.56	95.35	100.00	88.89	97.10
ERLIN2=HsaEX0023103	79.81	76.24	NA	NA	78.94	87.67	NA	80.68	88.43	NA	NA	100.00	99.56	100.00	98.81	100.00	99.33	100.00	100.00	100.00	100.00	100.00	97.06	99.04	98.59	100.00	98.46	100.00	100.00	100.00	100.00	100.00	100.00	100.00
ERLIN2=HsaEX0023104	77.27	65.47	83.06	NA	85.52	88.90	82.56	84.36	85.08	87.56	NA	88.46	98.05	98.61	97.06	98.80	95.68	94.87	100.00	90.00	100.00	92.50	96.97	91.84	90.75	90.80	94.29	95.43	98.15	93.16	94.59	95.24	97.14	93.75
TACC1=HsaEX0063366	76.06	NA	NA	NA	69.15	NA	NA	NA	60.98	NA	NA	NA	98.96	98.69	100.00	98.02	100.00	NA	NA	NA	NA	100.00	100.00	99.44	100.00	100.00	98.04	98.33	97.75	97.59	NA	100.00	97.30	100.00
SYBU=HsaEX0063073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.99	71.08	81.58	79.10	90.24	NA	NA	NA	NA	100.00	72.22	49.47	51.43	47.37	49.21	75.69	63.64	80.00	90.91	NA	82.61	87.50
SYBU=HsaEX0063074	36.62	38.46	26.67	45.45	47.32	45.88	49.25	47.22	51.16	61.80	48.31	45.60	61.60	53.33	71.88	60.82	75.00	NA	92.00	NA	66.67	84.21	60.00	46.47	54.62	44.12	36.59	62.99	57.14	57.69	76.00	64.71	64.71	66.04
MTDH=HsaEX0040430	75.77	76.93	75.07	75.00	72.17	72.23	71.29	72.92	77.72	78.52	80.43	75.02	91.87	87.16	95.08	92.16	89.12	82.57	84.62	88.64	92.39	89.95	93.32	91.54	89.22	92.49	92.95	92.39	93.46	93.36	84.92	90.27	91.40	95.47
EIF3H=HsaEX6082034	89.24	87.43	88.82	91.64	83.06	86.41	83.45	78.88	82.44	85.71	82.43	80.05	97.99	98.00	97.91	98.09	98.01	96.94	98.35	97.69	98.44	97.49	99.27	97.32	96.85	97.76	97.38	98.26	97.76	97.93	98.19	98.36	98.33	99.18
EIF3H=HsaEX6082035	90.93	90.00	90.45	92.71	86.29	88.12	87.10	83.73	85.25	89.00	85.63	81.70	98.13	98.11	97.96	98.41	97.85	97.08	98.03	97.61	98.32	97.11	99.12	97.71	97.14	97.95	98.13	98.15	97.51	97.57	98.51	98.46	98.00	99.23
ZNF7=HsaEX0074218	38.06	34.55	30.43	48.15	25.74	22.86	24.96	29.82	48.61	55.00	42.86	47.83	67.40	83.68	61.19	61.76	70.05	84.62	NA	NA	NA	66.67	80.49	57.64	54.05	49.30	72.41	86.67	69.70	83.33	NA	NA	100.00	93.75
ZNF7=HsaEX0074219	65.60	67.03	66.69	62.67	56.18	53.62	62.70	54.50	72.05	79.32	73.21	65.84	61.08	84.13	56.62	50.55	67.08	74.47	71.45	39.39	92.00	56.00	73.58	58.48	58.03	52.19	67.65	85.27	72.75	85.71	91.30	NA	100.00	94.45
ARHGAP39=HsaEX0005517	97.78	98.12	97.68	97.44	98.32	95.56	100.00	100.00	97.54	100.00	93.13	98.08	94.46	100.00	86.99	100.00	90.03	100.00	100.00	100.00	83.58	92.34	76.00	94.92	94.67	91.48	100.00	96.63	93.94	90.57	100.00	100.00	94.73	100.00
ARHGAP39=HsaEX0005514	100.00	100.00	100.00	100.00	93.65	80.95	100.00	100.00	96.08	NA	100.00	90.91	100.00	100.00	100.00	100.00	98.77	100.00	91.67	100.00	100.00	100.00	100.00	98.35	97.83	100.00	96.61	92.00	80.65	100.00	100.00	100.00	79.31	100.00
SLC39A4=HsaEX0002913	64.29	NA	NA	NA	26.92	NA	NA	NA	28.57	NA	NA	NA	99.21	98.45	99.60	99.48	99.66	100.00	100.00	99.76	100.00	98.12	99.03	99.24	99.78	98.59	99.18	99.19	99.09	98.54	100.00	99.43	99.43	98.77
SLC39A4=HsaEX6082987	100.00	NA	100.00	NA	80.28	80.00	NA	83.33	90.12	NA	92.31	88.89	99.93	100.00	100.00	99.75	99.96	100.00	100.00	99.78	100.00	100.00	100.00	99.91	100.00	99.74	100.00	99.96	100.00	99.79	100.00	100.00	100.00	100.00
NAPRT=HsaEX0041667	93.26	90.62	89.29	100.00	76.00	NA	NA	80.00	94.67	100.00	95.24	89.83	99.20	96.30	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.67	93.33	100.00	100.00	91.30	NA	NA
UHRF2=HsaEX1042928	34.36	36.67	36.99	29.03	33.82	30.10	29.41	45.71	46.50	50.65	42.03	46.39	1.21	0.00	2.35	1.60	0.39	0.00	0.00	0.00	0.00	0.00	1.89	1.77	2.56	1.33	1.22	1.48	2.22	2.44	NA	NA	0.00	0.00
UHRF2=HsaEX0069233	31.94	31.82	34.69	29.41	21.95	29.41	14.29	20.93	42.31	36.17	47.83	42.86	6.27	3.14	9.64	7.03	5.31	4.17	6.25	0.00	5.26	12.50	1.96	8.98	6.38	8.11	12.99	11.44	13.04	15.79	NA	NA	3.70	11.48
NFIB=HsaEX0042734	95.13	NA	100.00	NA	70.97	NA	NA	NA	85.73	NA	NA	NA	53.11	NA	NA	NA	36.27	NA	NA	NA	NA	NA	25.84	21.57	4.00	NA	NA	60.11	NA	NA	NA	NA	NA	NA
NFIB=HsaEX0042735	86.05	NA	NA	NA	60.38	NA	NA	NA	76.53	NA	NA	NA	25.81	NA	NA	18.84	20.40	NA	NA	NA	NA	NA	3.43	20.57	4.00	NA	NA	41.66	NA	NA	NA	NA	NA	NA
ZCCHC7=HsaEX0072378	NA	NA	NA	NA	NA	NA	NA	NA	71.39	NA	NA	NA	90.75	92.17	89.35	NA	94.87	NA	NA	NA	NA	NA	NA	94.85	96.31	NA	97.56	98.29	NA	93.36	NA	NA	NA	NA
ZCCHC7=HsaEX0072379	91.08	86.21	94.72	93.77	92.50	90.89	95.95	91.04	80.93	83.32	72.60	86.12	97.39	96.57	98.43	96.92	97.31	100.00	97.76	97.59	100.00	93.90	96.54	97.20	97.60	96.33	97.67	97.39	98.27	95.84	93.24	96.42	100.00	98.27
ZCCHC7=HsaEX0072381	28.55	NA	NA	NA	17.79	NA	NA	NA	8.68	NA	4.46	NA	6.26	6.49	8.36	3.13	2.04	NA	NA	NA	NA	NA	NA	1.60	4.77	0.00	0.00	2.65	NA	0.00	NA	NA	NA	NA
CEP78=HsaEX0014863	33.63	30.14	38.82	31.10	30.62	31.51	35.69	26.59	29.64	43.86	35.98	19.50	32.67	31.69	37.15	28.89	24.11	28.85	20.99	17.86	24.28	21.07	28.87	27.45	18.57	34.29	29.94	31.35	25.11	32.99	38.11	36.80	28.50	31.00
CEP78=HsaEX0014862	93.55	93.33	89.47	NA	100.00	NA	NA	100.00	77.42	75.00	NA	NA	97.70	97.16	97.67	98.36	98.59	100.00	100.00	100.00	100.00	100.00	94.94	98.37	98.73	100.00	96.52	98.69	100.00	94.59	100.00	100.00	100.00	100.00
AUH=HsaEX0007323	94.37	100.00	94.67	89.19	97.87	97.01	96.30	100.00	95.95	100.00	92.31	96.15	88.65	81.98	94.79	89.92	87.14	95.56	81.58	96.49	88.57	79.71	82.02	88.12	79.51	92.93	91.82	89.30	86.21	90.65	91.04	86.49	94.29	87.65
AUH=HsaEX0007324	31.61	20.48	45.10	35.59	30.05	34.25	28.12	26.33	37.48	35.86	44.83	33.18	13.56	6.26	27.50	11.30	12.62	14.81	5.26	9.80	10.53	14.75	18.75	11.21	8.05	14.71	11.82	5.44	2.56	5.13	2.04	NA	9.09	5.88
MFSD14B=HsaEX0029942	86.35	93.20	81.37	84.79	75.96	66.91	74.11	89.59	86.56	92.43	80.90	87.06	82.78	83.95	85.88	77.89	85.98	76.57	91.95	88.41	87.31	84.05	89.15	84.59	81.35	89.46	83.91	86.62	86.67	92.86	65.33	87.85	86.55	91.45
C9orf3=HsaEX0011654	57.58	72.98	46.49	55.81	45.91	51.12	37.78	47.83	51.38	NA	NA	49.99	46.27	51.73	44.97	42.80	50.25	36.84	64.00	47.14	36.17	51.39	64.46	43.54	39.73	46.00	46.21	53.49	38.65	55.73	66.99	64.92	48.28	55.22
C9orf3=HsaEX0011659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.00	NA	100.00	NA	100.00	NA	NA	NA	NA	NA	NA	82.46	NA	NA	NA	83.33	NA	NA	NA	NA	NA	NA
C9orf3=HsaEX0011662	17.03	25.39	8.62	15.28	6.27	5.07	6.17	7.57	17.30	17.83	23.04	12.75	25.83	24.96	27.69	23.88	27.71	45.61	31.32	22.45	38.49	13.77	23.44	18.98	22.15	18.23	15.52	24.72	32.32	13.25	27.98	27.65	29.73	22.17
C9orf3=HsaEX0011663	81.59	75.28	79.56	93.55	88.62	95.18	82.50	87.95	87.42	86.67	86.36	89.09	91.04	95.10	91.03	85.63	95.53	95.30	100.00	94.44	100.00	93.85	93.00	91.19	91.19	90.86	91.50	98.22	100.00	100.00	91.49	100.00	94.12	100.00
C9orf3=HsaEX1006621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.76	NA	NA	18.92	NA	NA	NA	NA	NA	NA	16.67	7.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
C9orf3=HsaEX0011661	3.22	3.37	1.28	4.95	1.98	1.20	2.27	2.45	4.02	3.63	5.99	3.03	7.86	3.42	8.36	12.14	14.01	9.71	13.24	16.60	32.92	7.78	10.41	10.86	11.08	11.31	10.17	14.06	12.70	8.90	21.71	17.49	19.06	10.81
UGCG=HsaEX0069137	11.63	NA	NA	NA	20.55	NA	20.00	24.14	18.18	11.76	NA	NA	1.54	0.00	0.81	3.92	1.44	3.23	0.00	NA	NA	0.00	3.45	0.93	1.10	1.55	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00
GSN=HsaEX0028841	7.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.78	70.94	68.84	NA	NA	NA	NA	NA	NA	NA	NA	86.37	NA	NA	77.09	69.46	NA	62.71	NA	NA	NA	NA
GSN=HsaEX6062853	98.17	100.00	97.59	97.18	74.60	73.33	80.00	71.88	97.92	100.00	NA	95.00	100.00	100.00	100.00	100.00	99.98	100.00	100.00	99.90	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
MRRF=HsaEX0040215	13.48	9.23	14.77	18.96	13.71	10.34	11.93	20.72	15.99	23.36	8.88	18.13	34.69	26.61	65.41	22.81	15.34	NA	NA	NA	NA	NA	NA	22.44	30.77	24.07	16.93	29.11	41.27	NA	NA	NA	NA	NA
SURF1=HsaEX0062967	96.56	100.00	100.00	91.31	89.82	87.01	NA	89.71	87.11	100.00	82.06	77.93	98.95	96.81	100.00	100.00	99.25	98.67	97.09	100.00	100.00	100.00	100.00	99.10	99.32	98.97	98.85	99.56	100.00	100.00	100.00	100.00	96.82	100.00
SURF2=HsaEX0062969	96.43	97.06	94.41	97.79	58.06	56.71	60.56	56.99	96.97	97.16	96.44	97.19	98.29	99.14	96.75	99.40	98.07	96.65	98.73	99.19	98.39	96.08	99.05	99.19	98.88	99.26	99.44	98.32	96.51	100.00	98.02	100.00	98.53	96.13
GTF3C5=HsaEX0029016	84.92	85.71	95.12	75.50	84.09	82.60	88.57	79.99	95.49	100.00	95.23	91.30	98.86	98.39	99.17	98.96	99.41	99.21	100.00	100.00	100.00	98.85	98.86	99.40	100.00	98.92	99.19	99.10	98.47	98.74	100.00	100.00	100.00	98.03
CIZ1=HsaEX6063177	80.15	66.52	95.70	84.58	82.76	87.29	79.94	80.91	75.91	81.65	69.38	76.37	95.84	96.20	95.82	95.55	97.78	100.00	100.00	100.00	95.22	96.05	96.32	96.15	94.31	96.16	98.52	94.51	97.64	92.59	88.58	100.00	95.86	93.88
CIZ1=HsaEX6063178	86.83	76.00	97.12	91.00	87.12	90.60	83.94	86.46	82.37	86.54	78.71	81.95	95.53	95.89	95.74	94.89	97.42	100.00	100.00	100.00	94.53	95.76	95.22	95.80	94.14	95.60	98.36	93.70	97.15	91.77	86.58	100.00	95.26	93.26
SH3GLB2=HsaEX0058034	98.77	100.00	95.80	100.00	76.78	74.39	NA	NA	100.00	100.00	100.00	100.00	99.12	100.00	98.91	98.60	99.06	100.00	98.42	98.34	100.00	100.00	97.65	100.00	100.00	100.00	100.00	99.59	97.85	100.00	100.00	100.00	100.00	100.00
LRSAM1=HsaEX0036817	72.44	75.31	69.23	72.73	69.05	67.65	NA	75.00	83.70	80.00	87.10	83.33	92.36	87.05	95.65	93.44	94.43	100.00	100.00	96.36	92.11	94.37	86.05	93.72	98.40	94.70	86.79	98.09	96.77	97.98	96.83	100.00	100.00	97.56
GPR107=HsaEX0028231	53.92	59.49	46.84	55.93	61.95	72.97	46.43	62.67	56.79	58.33	51.85	60.00	19.20	14.59	22.72	18.90	28.14	19.35	26.83	20.93	30.43	27.63	36.21	21.29	22.41	20.90	20.14	21.35	18.44	23.18	31.58	16.98	13.33	29.85
